ts,uid,id.orig_h,id.resp_h,duration,orig_bytes,resp_bytes,history,is_incomplete_conn,log_type,hour,day_of_week,proto_udp,service_dhcp,conn_state_SHR,requests_per_window,history_entropy
1744475637.352418,CNOtfF4BtIA52NiaD7,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,11,0.9182958340544896
1744475642.658643,C8Orl6gTgz6LyNPr2,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475647.760504,CFxieC2k73Pho2G5I9,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475653.652218,CpbtAFdUM81VlIJf2,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475661.735823,CfRxtq1BtE8Or3Fna,192.168.122.1,192.168.122.224,0.0,0.0,0.0,C,0,conn,16,5,False,False,False,12,-0.0
1744475659.25087,Cu45mr4XKYMGc5KV1e,192.168.122.1,192.168.122.224,0.0,0.0,0.0,Cc,0,conn,16,5,False,False,False,12,1.0
1744475661.735854,CGYoLF3ngHXMtRtMvk,192.168.122.1,192.168.122.224,0.0,0.0,0.0,^cC,0,conn,16,5,False,False,False,12,1.584962500721156
1744475666.834627,CLCohqdxsRg5kYATc,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475671.932427,Cz1HGV2Os4NnIIKrh4,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475677.507438,CUOaAj1Kfwv8LPwRfj,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475682.746316,CgtAFn4aPcElheZMY5,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475688.416881,CL7PHR3ie4hKs3ZRX4,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475694.392454,CLWm7o4Ttr6voq8Da8,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475700.109357,CeN5Md3bCmGSqZMd3e,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475705.710259,CRdREz4y50Cnk92dU7,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475710.776636,Cqnvqx46OY6LP0qkAj,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475715.919416,CKgzZd2D9LQRIufGma,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475722.233282,CuEdVzMddxyMmiRlj,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475728.1972,CgPr0kCAep2OmFqb3,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475734.499452,CRsEqE24ErT50RxKqk,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475739.622327,Ct5d3nc9CdyjA6e4k,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475744.780454,Cya07EgBxnKooPOkd,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475753.916467,CQDpkW1kHzY8FzCK0k,192.168.122.1,192.168.122.224,0.0,0.0,0.0,C,0,conn,16,5,False,False,False,13,-0.0
1744475750.062905,CYodP32u63cV9ThBQ9,192.168.122.1,192.168.122.224,0.0,0.0,0.0,Cc,0,conn,16,5,False,False,False,13,1.0
1744475753.916527,C3uE754BwRvLE00j34,192.168.122.1,192.168.122.224,0.0,0.0,0.0,^cCC,0,conn,16,5,False,False,False,13,1.5
1744475759.731044,CZi85m1xTdBe3w7bAa,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,13,0.9182958340544896
1744475764.938967,COhPNf2UX6mJJyHxDk,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475770.387241,CaAjSL1CTlZ20P5xjc,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475776.459174,Cw018R1LFPb7XYkCsj,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475781.52644,CTQzKR27EFNU3E5lle,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475787.014951,CjAO9S2igOab7bB9fb,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475793.263343,CJtItU2WJhVcIIFaP2,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475798.409252,CfSCk13IQI0fxjwCTa,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475804.118402,CssUYm1TX4W4rJ9P5k,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475809.377734,CN7sUj4aYHXa9aJGSh,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475815.009333,CoIYly4z8968lzqVHe,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,10,0.9182958340544896
1744475820.266878,CbSxr6FM28cYk4UBa,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475825.48231,C4cwdB1XWLatV75T74,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475830.715603,CJq2SQ3Pyg47LsNrIf,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475836.386442,C3ZGUd2WDzqeMg5Tte,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475842.342479,C46Lam1NJ9GdqBbkO9,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475848.260778,CyvveReMk5NzGizL1,192.168.122.1,192.168.122.224,0.0,0.0,0.0,C,0,conn,16,5,False,False,False,12,-0.0
1744475848.260811,CBhr4X2AEsRhAIdGO5,192.168.122.1,192.168.122.224,0.0,0.0,0.0,^cCC,0,conn,16,5,False,False,False,12,1.5
1744475854.074177,CMCPIp4MKg6Aajj1Rg,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475800.966427,C0FJAtETh7GtVFibk,192.168.122.224,192.168.122.1,0.000466,0.0,300.0,Cd,0,conn,16,5,True,True,True,1,1.0
1744475859.876418,C5cg8k19Z1sdOFHr8,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475864.897091,CXOVTiUN8UDSACFy5,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475870.120956,CWfWHo2QATkq0Gg3p6,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475875.503588,Cxj3BI14QhvikomuN5,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,12,0.9182958340544896
1744475881.330129,C4ADsyS1dwC5aan6,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,3,0.9182958340544896
1744475886.80372,CxPcRS2yq1ZqJiUaXg,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,3,0.9182958340544896
1744475892.389822,CWJnOMDb4qT3TMDa2,192.168.122.1,192.168.122.224,0.0,0.0,0.0,CcC,0,conn,16,5,False,False,False,3,0.9182958340544896
